,unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
2429,1436227200,2015-07-07,BTC/USD,269.47,271.69,264.01,266.18,3633491.82,13614.5
2428,1436313600,2015-07-08,BTC/USD,266.18,273.0,263.01,269.39,3865656.2,14420.88
2427,1436400000,2015-07-09,BTC/USD,269.39,271.98,265.92,269.65,3759916.62,13965.07
2426,1436486400,2015-07-10,BTC/USD,269.65,294.71,268.63,286.61,8298807.96,29175.43
2425,1436572800,2015-07-11,BTC/USD,286.61,298.05,283.88,292.02,3354503.61,11468.25
2424,1436659200,2015-07-12,BTC/USD,292.02,317.99,291.64,310.24,6896100.33,22483.42
2423,1436745600,2015-07-13,BTC/USD,310.24,310.73,281.0,292.0,8674485.99,29753.17
2422,1436832000,2015-07-14,BTC/USD,292.0,297.13,286.02,287.96,3007819.74,10331.15
2421,1436918400,2015-07-15,BTC/USD,287.96,293.7,285.4,285.55,2654830.77,9139.09
2420,1437004800,2015-07-16,BTC/USD,285.55,292.4,274.92,277.23,6000087.33,21306.73
2419,1437091200,2015-07-17,BTC/USD,278.27,280.73,272.31,279.43,3263317.61,11791.54
2418,1437177600,2015-07-18,BTC/USD,279.43,283.0,276.73,276.73,2631336.95,9438.44
2417,1437264000,2015-07-19,BTC/USD,276.73,278.1,275.12,275.5,1359445.35,4922.56
2416,1437350400,2015-07-20,BTC/USD,275.5,279.16,274.62,277.73,2471553.26,8914.57
2415,1437436800,2015-07-21,BTC/USD,277.73,281.07,276.28,276.48,2465410.35,8831.73
2414,1437523200,2015-07-22,BTC/USD,276.48,277.93,275.0,277.93,2321796.93,8397.47
2413,1437609600,2015-07-23,BTC/USD,277.93,278.55,275.79,276.67,1824262.52,6582.58
2412,1437696000,2015-07-24,BTC/USD,276.67,290.02,275.9,289.96,3848904.21,13542.88
2411,1437782400,2015-07-25,BTC/USD,289.96,292.0,286.5,289.34,1999546.59,6912.1
2410,1437868800,2015-07-26,BTC/USD,289.34,294.0,287.41,292.84,1589174.72,5451.14
2409,1437955200,2015-07-27,BTC/USD,292.84,297.44,286.43,294.27,4226344.3,14479.23
2408,1438041600,2015-07-28,BTC/USD,294.27,297.0,292.19,293.84,2643989.23,8973.72
2407,1438128000,2015-07-29,BTC/USD,293.84,294.67,287.27,289.63,2965535.82,10200.93
2406,1438214400,2015-07-30,BTC/USD,289.63,290.23,284.53,287.73,2298107.6,7987.07
2405,1438300800,2015-07-31,BTC/USD,287.73,289.0,281.8,284.39,2218539.42,7806.41
2404,1438387200,2015-08-01,BTC/USD,284.39,285.16,276.66,280.77,1992579.09,7104.93
2403,1438473600,2015-08-02,BTC/USD,280.77,282.9,276.57,281.5,1258557.7,4504.34
2402,1438560000,2015-08-03,BTC/USD,281.5,285.8,279.52,282.72,1753353.95,6191.27
2401,1438646400,2015-08-04,BTC/USD,282.72,285.88,280.26,284.65,1798604.43,6341.12
2400,1438732800,2015-08-05,BTC/USD,284.65,285.86,280.63,281.99,1770641.93,6265.79
2399,1438819200,2015-08-06,BTC/USD,281.99,281.99,281.99,281.99,0.0,0.0
2398,1438905600,2015-08-07,BTC/USD,281.99,281.99,277.43,279.01,1158954.0,4153.05
2397,1438992000,2015-08-08,BTC/USD,279.01,279.97,260.41,261.71,2760954.37,10196.43
2396,1439078400,2015-08-09,BTC/USD,261.71,268.95,261.01,265.36,2374804.25,8992.5
2395,1439164800,2015-08-10,BTC/USD,265.36,266.79,261.6,264.33,2579884.33,9762.3
2394,1439251200,2015-08-11,BTC/USD,264.33,270.87,263.64,270.0,2211924.7,8309.4
2393,1439337600,2015-08-12,BTC/USD,270.0,271.5,265.71,268.51,2402394.96,8958.14
2392,1439424000,2015-08-13,BTC/USD,268.51,269.37,262.32,264.65,2920632.41,11012.75
2391,1439510400,2015-08-14,BTC/USD,264.65,266.99,262.0,265.71,2139186.76,8078.55
2390,1439596800,2015-08-15,BTC/USD,265.71,266.5,260.45,261.03,1408972.75,5325.65
2389,1439683200,2015-08-16,BTC/USD,261.03,262.2,254.01,256.09,2520197.88,9784.83
2388,1439769600,2015-08-17,BTC/USD,256.09,259.12,254.63,256.66,2195673.39,8544.68
2387,1439856000,2015-08-18,BTC/USD,256.66,256.99,245.05,246.0,2922457.54,11560.09
2386,1439942400,2015-08-19,BTC/USD,246.0,246.0,221.11,227.1,6613615.77,28563.8
2385,1440028800,2015-08-20,BTC/USD,227.1,236.66,226.01,235.95,3735462.71,16008.51
2384,1440115200,2015-08-21,BTC/USD,235.95,236.66,231.77,233.27,2347247.27,10039.9
2383,1440201600,2015-08-22,BTC/USD,233.27,235.2,223.01,230.47,3667961.32,16002.99
2382,1440288000,2015-08-23,BTC/USD,230.47,234.03,227.13,228.47,1725083.07,7473.26
2381,1440374400,2015-08-24,BTC/USD,228.47,228.99,207.73,211.79,8106706.15,37272.75
2380,1440460800,2015-08-25,BTC/USD,211.79,228.04,198.12,221.64,9040638.86,42103.77
2379,1440547200,2015-08-26,BTC/USD,221.64,231.09,219.77,225.17,5543744.64,24502.89
2378,1440633600,2015-08-27,BTC/USD,225.17,228.89,223.17,223.8,3267192.5,14442.78
2377,1440720000,2015-08-28,BTC/USD,223.8,235.93,220.29,232.09,5200095.43,22724.23
2376,1440806400,2015-08-29,BTC/USD,232.09,233.9,226.67,229.23,3546302.36,15403.85
2375,1440892800,2015-08-30,BTC/USD,229.23,232.75,225.04,228.43,3604475.76,15797.35
2374,1440979200,2015-08-31,BTC/USD,228.43,232.49,224.39,229.84,3483770.74,15220.01
2373,1441065600,2015-09-01,BTC/USD,229.84,231.67,226.17,227.65,5435475.61,23816.39
2372,1441152000,2015-09-02,BTC/USD,227.65,230.77,226.0,228.77,4931694.75,21569.59
2371,1441238400,2015-09-03,BTC/USD,228.77,229.96,226.5,226.79,4489055.76,19714.63
2370,1441324800,2015-09-04,BTC/USD,226.79,231.4,226.33,231.09,4791065.22,20890.72
2369,1441411200,2015-09-05,BTC/USD,231.09,237.22,229.23,235.45,4675054.57,20028.27
2368,1441497600,2015-09-06,BTC/USD,235.45,244.2,235.02,240.45,6136017.84,25523.35
2367,1441584000,2015-09-07,BTC/USD,240.45,242.91,238.44,240.12,5569212.84,23160.77
2366,1441670400,2015-09-08,BTC/USD,240.12,246.24,239.89,244.04,5778734.49,23713.93
2365,1441756800,2015-09-09,BTC/USD,244.04,244.22,237.01,237.96,5582113.93,23263.18
2364,1441843200,2015-09-10,BTC/USD,237.96,241.65,234.78,238.5,4912126.42,20541.17
2363,1441929600,2015-09-11,BTC/USD,238.5,240.94,237.5,239.94,3310863.21,13813.07
2362,1442016000,2015-09-12,BTC/USD,239.94,240.0,233.02,235.61,2953565.27,12452.61
2361,1442102400,2015-09-13,BTC/USD,235.61,236.09,228.0,230.17,4316617.77,18652.71
2360,1442188800,2015-09-14,BTC/USD,230.17,232.92,223.99,229.51,4038784.07,17592.99
2359,1442275200,2015-09-15,BTC/USD,229.51,231.21,226.5,229.3,3761713.94,16362.58
